-,-
2,B_age
5,I_age
是,O
的,O
今,B_datetime
天,I_datetime
刚,O
检,O
查,O
的,O
-,-
现,O
在,O
离,O
月,B_physiology
经,I_physiology
还,O
有,O
1,B_datetime
3,I_datetime
天,I_datetime
呢,O
-,-
就,O
是,O
不,O
怎,O
么,O
厉,O
害,O
-,-
你,O
方,O
便,O
照,O
照,O
片,O
吗,O
建,O
议,O
你,O
最,O
好,O
照,O
一,O
下,O
照,O
片,O
加,O
上,O
我,O
的,O
微,O
信,O
发,O
给,O
我,O
我,O
看,O
一,O
下,O
-,-
您,O
好,O
！,O
输,B_surgery
卵,I_surgery
管,I_surgery
结,I_surgery
扎,I_surgery
5,O
五,B_datetime
年,I_datetime
了,O
，,O
还,O
能,O
做,O
复,B_surgery
通,I_surgery
手,I_surgery
术,I_surgery
吗,O
？,O
-,-
这,O
样,O
的,O
话,O
咱,O
们,O
怀,B_physiology
孕,I_physiology
时,O
间,O
大,O
概,O
是,O
有,O
4,B_datetime
5,I_datetime
天,I_datetime
左,I_datetime
右,I_datetime
了,O
-,-
那,O
个,O
对,O
身,O
体,O
伤,O
害,O
最,O
小,O
呀,O
-,-
最,O
近,O
内,B_fluid
分,I_fluid
泌,I_fluid
物,I_fluid
都,O
是,O
小,B_symptom
白,I_symptom
点,I_symptom
。,O
而,O
且,O
还,O
是,O
干,B_symptom
的,I_symptom
擦,O
过,O
后,O
还,O
是,O
会,O
有,O
。,O
还,O
有,O
点,O
痒,B_symptom
-,-
生,B_physiology
孩,I_physiology
子,I_physiology
5,B_datetime
个,I_datetime
月,I_datetime
了,O
，,O
有,O
感,B_symptom
染,I_symptom
吃,B_othertreatment
药,I_othertreatment
了,O
，,O
可,O
是,O
现,O
在,O
小,B_symptom
肚,I_symptom
子,I_symptom
疼,I_symptom
-,-
我,O
1,O
5,O
1,O
4,O
6,O
0,O
1,O
3,O
6,O
5,O
7,O
-,-
应,O
该,O
9,B_datetime
号,I_datetime
来,O
的,O
-,-
今,B_datetime
